date,total_electricity
2019-09-05,11041000
2019-09-06,6499000
2019-09-07,20501000
2019-09-09,27854000
2019-09-10,12100000
2019-09-11,3481000
2019-09-12,4426000
2019-09-13,3815000
2019-09-14,8752000
2019-09-15,11689000
2019-09-16,26843000
2019-09-17,20287000
2019-09-18,7582000
2019-09-19,49470000
2019-09-20,2322000
2019-09-21,12004000
2019-09-22,21768000
2019-09-23,27930000
2019-09-24,22470000
2019-09-25,10825000
2019-09-26,11008000
2019-09-27,3612000
2019-09-28,4787000
2019-09-29,2848000
2019-09-30,4974000
2019-10-01,4265000
2019-10-02,5946000
2019-10-03,3489000
2019-10-04,925000
2019-10-06,3757000
2019-10-07,971000
2019-10-08,1601000
2019-10-09,2284000
2019-10-10,3185000
2019-10-11,8575000
2019-10-12,3965000
2019-10-13,10087000
2019-10-14,16592000
2019-10-15,9413000
2019-10-16,19525000
2019-10-17,9192000
2019-10-18,21109000
2019-10-19,31445000
2019-10-20,27966000
2019-10-21,49338000
2019-10-22,108759000
2019-10-23,115078000
2019-10-24,116556000
2019-10-25,108160000
2019-10-26,0
2019-10-28,13140000
2019-10-29,122909000
2019-10-30,119702000
2019-10-31,124694000
2019-11-01,6350000
2019-11-02,106532000
2019-11-03,109179000
2019-11-04,123790000
2019-11-05,121267000
2019-11-06,124058000
2019-11-07,125140000
2019-11-08,128724000
2019-11-09,115708000
2019-11-10,112752000
2019-11-11,112487000
2019-11-12,57944000
2019-11-13,130419000
2019-11-14,127870000
2019-11-15,123624000
2019-11-16,113386000
2019-11-17,114045000
2019-11-18,127797000
2019-11-19,127832000
2019-11-20,126407000
2019-11-21,125872000
2019-11-22,123133000
2019-11-23,113315000
2019-11-24,110568000
2019-11-25,126453000
2019-11-26,123223000
2019-11-27,117316000
2019-11-28,109834000
2019-11-29,120129000
2019-11-30,114095000
2019-12-01,114386000
2019-12-02,126733000
2019-12-03,129054000
2019-12-04,57717000
2019-12-05,109929000
2019-12-06,129684000
2019-12-07,117744000
2019-12-08,117804000
2019-12-09,123986000
2019-12-10,119851000
2019-12-11,124072000
2019-12-12,125618000
2019-12-13,61562000
2019-12-17,59668000
2019-12-18,125121000
2019-12-19,132198000
2019-12-20,133128000
2019-12-21,116689000
2019-12-22,114200000
2019-12-23,127342000
2019-12-24,122013000
2019-12-25,115005000
2019-12-26,121574000
2019-12-27,120481000
2019-12-28,111500000
2019-12-29,111651000
2019-12-30,123428000
2019-12-31,118659000
2020-01-01,56792000
2020-01-02,0
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-16,28839000
2020-03-17,120006000
2020-03-18,86592000
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,38546000
2020-03-25,109897000
2020-03-26,67682000
